EPOCH:   1, Train Acc: 0.238, Valid Acc: 0.334, Time:  0.142
EPOCH:   2, Train Acc: 0.343, Valid Acc: 0.363, Time:  0.283
EPOCH:   3, Train Acc: 0.384, Valid Acc: 0.396, Time:  0.427
EPOCH:   4, Train Acc: 0.412, Valid Acc: 0.419, Time:  0.569
EPOCH:   5, Train Acc: 0.433, Valid Acc: 0.443, Time:  0.713
EPOCH:   6, Train Acc: 0.454, Valid Acc: 0.459, Time:  0.855
EPOCH:   7, Train Acc: 0.468, Valid Acc: 0.470, Time:  1.000
EPOCH:   8, Train Acc: 0.477, Valid Acc: 0.476, Time:  1.142
EPOCH:   9, Train Acc: 0.484, Valid Acc: 0.482, Time:  1.286
EPOCH:  10, Train Acc: 0.490, Valid Acc: 0.490, Time:  1.427
EPOCH:  11, Train Acc: 0.498, Valid Acc: 0.497, Time:  1.571
EPOCH:  12, Train Acc: 0.507, Valid Acc: 0.505, Time:  1.713
EPOCH:  13, Train Acc: 0.516, Valid Acc: 0.516, Time:  1.856
EPOCH:  14, Train Acc: 0.527, Valid Acc: 0.524, Time:  1.997
EPOCH:  15, Train Acc: 0.536, Valid Acc: 0.533, Time:  2.140
EPOCH:  16, Train Acc: 0.544, Valid Acc: 0.541, Time:  2.283
EPOCH:  17, Train Acc: 0.552, Valid Acc: 0.549, Time:  2.426
EPOCH:  18, Train Acc: 0.559, Valid Acc: 0.557, Time:  2.568
EPOCH:  19, Train Acc: 0.567, Valid Acc: 0.563, Time:  2.712
EPOCH:  20, Train Acc: 0.574, Valid Acc: 0.569, Time:  2.853
EPOCH:  21, Train Acc: 0.580, Valid Acc: 0.575, Time:  2.996
EPOCH:  22, Train Acc: 0.586, Valid Acc: 0.583, Time:  3.138
EPOCH:  23, Train Acc: 0.591, Valid Acc: 0.587, Time:  3.282
EPOCH:  24, Train Acc: 0.596, Valid Acc: 0.590, Time:  3.424
EPOCH:  25, Train Acc: 0.599, Valid Acc: 0.594, Time:  3.568
EPOCH:  26, Train Acc: 0.603, Valid Acc: 0.598, Time:  3.709
EPOCH:  27, Train Acc: 0.606, Valid Acc: 0.601, Time:  3.852
EPOCH:  28, Train Acc: 0.610, Valid Acc: 0.604, Time:  3.994
EPOCH:  29, Train Acc: 0.613, Valid Acc: 0.608, Time:  4.138
EPOCH:  30, Train Acc: 0.616, Valid Acc: 0.612, Time:  4.280
EPOCH:  31, Train Acc: 0.619, Valid Acc: 0.616, Time:  4.424
EPOCH:  32, Train Acc: 0.623, Valid Acc: 0.618, Time:  4.565
EPOCH:  33, Train Acc: 0.626, Valid Acc: 0.621, Time:  4.709
EPOCH:  34, Train Acc: 0.630, Valid Acc: 0.624, Time:  4.851
EPOCH:  35, Train Acc: 0.632, Valid Acc: 0.626, Time:  4.996
